Date,ADRO.JK,ANTM.JK,BBCA.JK,BBNI.JK,PTBA.JK
2023-07-10,1064.9573974609375,1740.13671875,8443.130859375,3963.583740234375,2131.89306640625
2023-07-11,1069.3580322265625,1757.7137451171875,8419.80859375,3930.736328125,2116.555419921875
2023-07-12,1042.9541015625,1748.9251708984375,8559.7490234375,3919.787353515625,2093.549560546875
2023-07-13,1020.9508666992188,1748.9251708984375,8513.1015625,3897.88916015625,2101.21826171875
2023-07-14,1038.5535888671875,1757.7137451171875,8583.0712890625,3908.838134765625,2124.224365234375
2023-07-17,1047.3548583984375,1748.9251708984375,8559.7490234375,3919.787353515625,2139.561767578125
2023-07-18,1025.3515625,1748.9251708984375,8536.4248046875,3897.88916015625,2108.886962890625
2023-07-20,1042.9541015625,1748.9251708984375,8536.4248046875,3963.583740234375,2124.224365234375
2023-07-21,1064.9573974609375,1735.7423095703125,8536.4248046875,3963.583740234375,2139.561767578125
2023-07-24,1086.9605712890625,1735.7423095703125,8489.7783203125,3952.634765625,2208.579833984375
2023-07-25,1069.3580322265625,1735.7423095703125,8536.4248046875,3952.634765625,2185.57373046875
2023-07-26,1100.1624755859375,1744.5308837890625,8723.013671875,3919.787353515625,2208.579833984375
2023-07-27,1078.159423828125,1731.3480224609375,8606.396484375,3897.88916015625,2170.236328125
2023-07-28,1086.9605712890625,1722.5594482421875,8513.1015625,3886.939697265625,2147.230224609375
2023-07-31,1060.5567626953125,1744.5308837890625,8513.1015625,3886.939697265625,2124.224365234375
2023-08-01,1051.7554931640625,1792.8680419921875,8513.1015625,3799.346923828125,2093.549560546875
2023-08-02,1042.9541015625,1766.5023193359375,8583.0712890625,3886.939697265625,2101.21826171875
2023-08-03,1038.5535888671875,1766.5023193359375,8629.7197265625,3919.787353515625,2101.21826171875
2023-08-04,1056.156005859375,1775.2908935546875,8536.4248046875,3941.685302734375,2131.89306640625
2023-08-07,1047.3548583984375,1792.8680419921875,8653.0439453125,3941.685302734375,2124.224365234375
2023-08-08,1042.9541015625,1766.5023193359375,8583.0712890625,3908.838134765625,2124.224365234375
2023-08-09,1056.156005859375,1766.5023193359375,8769.66015625,3974.532958984375,2131.89306640625
2023-08-10,1060.5567626953125,1748.9251708984375,8769.66015625,3985.48193359375,2139.561767578125
2023-08-11,1034.1527099609375,1748.9251708984375,8769.66015625,3985.48193359375,2124.224365234375
2023-08-14,1051.7554931640625,1757.7137451171875,8723.013671875,4029.278564453125,2131.89306640625
2023-08-15,1104.563232421875,1748.9251708984375,8676.3662109375,3985.48193359375,2139.561767578125
2023-08-16,1108.9638671875,1722.5594482421875,8676.3662109375,3985.48193359375,2124.224365234375
2023-08-18,1117.76513671875,1713.77099609375,8629.7197265625,3963.583740234375,2139.561767578125
2023-08-21,1152.970458984375,1713.77099609375,8559.7490234375,3996.431396484375,2147.230224609375
2023-08-22,1188.1756591796875,1709.3765869140625,8676.3662109375,3985.48193359375,2292.935302734375
2023-08-23,1188.1756591796875,1718.1651611328125,8676.3662109375,3974.532958984375,2315.941162109375
2023-08-24,1174.9736328125,1753.319580078125,8583.0712890625,3996.431396484375,2262.260498046875
2023-08-25,1139.7685546875,1748.9251708984375,8653.0439453125,3985.48193359375,2231.585693359375
2023-08-28,1179.374267578125,1753.319580078125,8583.0712890625,3985.48193359375,2277.59765625
2023-08-29,1179.374267578125,1753.319580078125,8629.7197265625,4007.38037109375,2269.92919921875
2023-08-30,1183.77490234375,1753.319580078125,8583.0712890625,4029.278564453125,2231.585693359375
2023-08-31,1174.9736328125,1748.9251708984375,8559.7490234375,4018.329345703125,2193.242431640625
2023-09-01,1179.374267578125,1718.1651611328125,8606.396484375,4018.329345703125,2208.579833984375
2023-09-04,1205.7781982421875,1713.77099609375,8606.396484375,4138.77001953125,2239.25439453125
2023-09-05,1205.7781982421875,1713.77099609375,8606.396484375,4215.41357421875,2246.92333984375
2023-09-06,1262.9866943359375,1709.3765869140625,8536.4248046875,4193.515625,2292.935302734375
2023-09-07,1267.387451171875,1718.1651611328125,8559.7490234375,4160.66796875,2239.25439453125
2023-09-08,1271.7880859375,1709.3765869140625,8513.1015625,4105.92236328125,2246.92333984375
2023-09-11,1232.18212890625,1718.1651611328125,8513.1015625,4138.77001953125,2208.579833984375
2023-09-12,1236.5828857421875,1709.3765869140625,8489.7783203125,4073.074951171875,2200.910888671875
2023-09-13,1258.5860595703125,1683.010986328125,8466.455078125,4094.97314453125,2170.236328125
2023-09-14,1280.58935546875,1669.828125,8489.7783203125,4138.77001953125,2216.24853515625
2023-09-15,1249.7847900390625,1669.828125,8396.4833984375,4149.71875,2185.57373046875
2023-09-18,1249.7847900390625,1621.490966796875,8396.4833984375,4094.97314453125,2177.905029296875
2023-09-19,1276.188720703125,1617.0966796875,8466.455078125,4138.77001953125,2208.579833984375
2023-09-20,1302.592529296875,1634.673828125,8536.4248046875,4193.515625,2200.910888671875
2023-09-21,1298.1920166015625,1612.702392578125,8513.1015625,4204.46435546875,2162.567626953125
2023-09-22,1298.1920166015625,1625.88525390625,8466.455078125,4270.1591796875,2193.242431640625
2023-09-25,1298.1920166015625,1625.88525390625,8396.4833984375,4401.548828125,2185.57373046875
2023-09-26,1218.980224609375,1617.0966796875,8349.8359375,4368.701171875,2154.89892578125
2023-09-27,1262.9866943359375,1599.51953125,8279.8662109375,4434.396484375,2147.230224609375
2023-09-29,1254.1854248046875,1595.125244140625,8233.21875,4521.9892578125,2147.230224609375
2023-10-02,1236.5828857421875,1586.336669921875,8466.455078125,4511.0400390625,2147.230224609375
2023-10-03,1183.77490234375,1551.182373046875,8583.0712890625,4565.78564453125,2101.21826171875
2023-10-04,1170.572998046875,1529.2110595703125,8583.0712890625,4543.8876953125,2062.874755859375
2023-10-05,1148.5697021484375,1498.4510498046875,8466.455078125,4543.8876953125,2039.8687744140625
2023-10-06,1166.17236328125,1507.239501953125,8419.80859375,4554.83642578125,2039.8687744140625
2023-10-09,1218.980224609375,1590.73095703125,8443.130859375,4467.24365234375,2085.880859375
2023-10-10,1223.380859375,1595.125244140625,8326.513671875,4554.83642578125,2108.886962890625
2023-10-11,1214.5794677734375,1595.125244140625,8326.513671875,4532.9384765625,2101.21826171875
2023-10-12,1183.77490234375,1559.970947265625,8443.130859375,4664.328125,2078.212158203125
2023-10-13,1192.576171875,1542.3939208984375,8466.455078125,4532.9384765625,2062.874755859375
2023-10-16,1223.380859375,1586.336669921875,8489.7783203125,4554.83642578125,2078.212158203125
2023-10-17,1218.980224609375,1590.73095703125,8349.8359375,4554.83642578125,2085.880859375
2023-10-18,1249.7847900390625,1625.88525390625,8256.54296875,4489.14208984375,2085.880859375
2023-10-19,1240.9835205078125,1595.125244140625,8163.248046875,4327.0947265625,2062.874755859375
2023-10-20,1232.18212890625,1603.913818359375,8373.16015625,4353.37255859375,2085.880859375
2023-10-23,1170.572998046875,1537.99951171875,8256.54296875,4370.89111328125,2039.8687744140625
2023-10-24,1170.572998046875,1551.182373046875,8186.5712890625,4379.65087890625,2047.53759765625
2023-10-25,1174.9736328125,1520.42236328125,8279.8662109375,4353.37255859375,2062.874755859375
2023-10-26,1166.17236328125,1520.42236328125,8139.9248046875,4274.5390625,2039.8687744140625
2023-10-27,1161.7716064453125,1516.0281982421875,8116.6005859375,4248.26123046875,2039.8687744140625
2023-10-30,1117.76513671875,1516.0281982421875,8256.54296875,4248.26123046875,1986.18798828125
2023-10-31,1126.5665283203125,1498.4510498046875,8163.248046875,4195.705078125,1901.8326416015625
2023-11-01,1060.5567626953125,1450.1138916015625,8023.30712890625,4221.98291015625,1809.808349609375
2023-11-02,1051.7554931640625,1450.1138916015625,8256.54296875,4265.77978515625,1825.145751953125
2023-11-03,1095.7618408203125,1454.508056640625,8303.189453125,4283.29833984375,1832.814453125
2023-11-06,1113.3646240234375,1494.056640625,8443.130859375,4353.37255859375,1840.4830322265625
2023-11-07,1086.9605712890625,1485.2681884765625,8373.16015625,4327.0947265625,1809.808349609375
2023-11-08,1073.7586669921875,1458.9024658203125,8396.4833984375,4274.5390625,1786.8023681640625
2023-11-09,1078.159423828125,1454.508056640625,8396.4833984375,4257.0205078125,1802.1396484375
2023-11-10,1091.3614501953125,1428.1424560546875,8233.21875,4257.0205078125,1794.4710693359375
2023-11-13,1091.3614501953125,1423.7481689453125,8279.8662109375,4283.29833984375,1809.808349609375
2023-11-14,1091.3614501953125,1423.7481689453125,8326.513671875,4274.5390625,1832.814453125
2023-11-15,1104.563232421875,1441.3253173828125,8443.130859375,4362.1318359375,1840.4830322265625
2023-11-16,1113.3646240234375,1450.1138916015625,8466.455078125,4335.85400390625,1825.145751953125
2023-11-17,1117.76513671875,1436.9310302734375,8466.455078125,4362.1318359375,1840.4830322265625
2023-11-20,1122.165771484375,1414.9595947265625,8279.8662109375,4362.1318359375,1855.820556640625
2023-11-21,1148.5697021484375,1423.7481689453125,8186.5712890625,4445.34521484375,1863.4892578125
2023-11-22,1139.7685546875,1410.5653076171875,8279.8662109375,4445.34521484375,1855.820556640625
2023-11-23,1122.165771484375,1406.1710205078125,8326.513671875,4511.0400390625,1863.4892578125
